0,I love this sandwich,pos
1,This is an amazing place,pos
2,I feel very good about these beers,pos
3,This is my best work,pos
4,What an awesome view,pos
5,I do not like this restaurant,neg
6,I am tired of this stuff,neg
7,I can't deal with this,neg
8,He is my sworn enemy,neg
9,My boss is horrible,neg
10,This is an awesome place,pos
11,I do not like the taste of this juice,neg
12,I love to dance,pos
13,I am sick and tired of this place,neg
14,What a great holiday,pos
15,This is a bad locality to stay,neg
16,We will have good fun tomorrow,pos
17,I went to my enemy's house today,neg
